component_id	longitude	latitude	var_longitude	var_latitude
0	142688.699316	219975.074861	87181.461234	54601.031405
1	144621.409696	219866.591114	5388.691813	1730.270904
2	144123.615601	218017.405146	55085.078845	32372.905012
3	141231.416407	219235.095522	133661.113664	162068.259308
4	143427.828744	220986.560839	68888.614846	44379.762804
5	144253.286608	218752.740960	111430.820155	80575.333608
6	141498.379796	219989.500466	25602.839551	16015.055054
7	142206.096016	220280.376439	60833.695725	78111.946507
8	145575.893459	219074.715107	16777.608755	10626.165505
9	144027.857401	220387.726750	73956.285711	51668.392148
10	143048.274509	221186.730966	87016.052634	66928.172193
11	143397.216503	218583.984377	47952.205798	33929.551627
12	144783.191919	218209.615894	66977.744376	77457.963676
13	143586.935387	219283.176995	107891.428648	79360.491921
14	145059.993877	219531.780052	85036.650069	55749.124719
15	143625.472374	220123.054625	11149.107504	53213.636859
16	142797.145917	220947.315035	38057.342852	38851.681719
17	144265.174294	219869.182744	8974.381264	6762.608992
