component_id	longitude	latitude
0	142688.699316	219975.074861
1	144621.409696	219866.591114
2	144123.615601	218017.405146
3	141231.416407	219235.095522
4	143427.828744	220986.560839
5	144253.286608	218752.740960
6	141498.379796	219989.500466
7	142206.096016	220280.376439
8	145575.893459	219074.715107
9	144027.857401	220387.726750
10	143048.274509	221186.730966
11	143397.216503	218583.984377
12	144783.191919	218209.615894
13	143586.935387	219283.176995
14	145059.993877	219531.780052
15	143625.472374	220123.054625
16	142797.145917	220947.315035
17	144265.174294	219869.182744
