cluster_id	longitude	latitude	var_longitude	var_latitude
0	142791.519608	219894.950980	28478.935890	17867.272107
1	144620.177215	219845.259494	16298.373658	6074.508612
2	144279.587097	217954.203226	56624.696621	20029.881669
3	140957.749186	218933.788274	35212.865431	45126.512175
4	143363.201863	220966.108696	20449.347450	15175.550297
5	144075.924779	218890.287611	34635.255832	22437.714486
6	141575.163677	219770.885650	30115.746752	50319.460018
7	142238.808000	220286.898667	13169.339136	14156.533732
8	145503.658960	219098.523121	22736.120686	27570.272587
9	143856.440901	220497.270169	20004.464143	15840.557403
10	142909.737662	221293.714286	30777.871439	27049.144341
11	143402.670520	218580.621387	44793.266202	31168.556522
12	144721.144124	218395.762749	38966.463156	24024.347378
13	143448.147287	219445.891473	33125.040322	30255.957214
14	145055.200000	219535.175000	13444.980000	8628.494375
15	143628.020339	220092.816949	7657.287722	17741.566492
16	142623.252747	220766.494505	13745.243811	15722.931288
17	144245.055385	220140.520000	10790.686163	23436.809600
